                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6077,                 5.6146,                 3.1887,                 1.6977,                0.48681,                0.16667,                0.15705,                0.07475,                0.48681,                0.16667,                0.16954,                0.05136,                  1.514,                 4.6437,                 3.6756,                 1.7123,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.5503,                 4.8767,                 3.1049,                 1.6317,                0.31787,                0.20833,                0.15982,                0.09943,                0.25282,                0.16667,                 0.1343,                 0.0483,                 1.6697,                 5.9748,                 4.5357,                 1.9324,             0.00013986,             0.00013986,             0.00013986
                      3,                 1.2624,                 3.2356,                 2.1013,                 1.4025,                 0.4259,                   0.25,                0.22758,                0.08821,                 0.4259,                   0.25,                0.21463,                0.05569,                 1.8086,                 7.1187,                 5.1725,                 2.2967,             0.00021956,             0.00021956,             0.00021956
                      4,                 1.2144,                 2.7622,                 1.8172,                  1.339,                0.44455,                    0.5,                0.39907,                0.19452,                0.53629,                0.29167,                0.31035,                0.15072,                 1.8544,                 5.0705,                 6.7288,                 2.2186,             0.00029911,             0.00029911,             0.00029911
                      5,                 1.2047,                 2.5708,                 1.5391,                 1.3424,                0.49449,                  0.375,                0.36711,                0.17842,                0.38651,                0.29167,                0.27496,                 0.1152,                 1.7354,                 5.2489,                 9.0288,                 2.0741,              0.0003785,              0.0003785,              0.0003785
                      6,                 1.1697,                 2.5273,                  1.605,                 1.3193,                0.36624,                   0.25,                0.24616,                0.10826,                0.62822,                0.16667,                0.18935,                0.08087,                 1.9115,                 4.8649,                 5.0533,                 2.2503,             0.00045772,             0.00045772,             0.00045772
                      7,                 1.2093,                  2.537,                 1.4859,                 1.3451,                0.64871,                0.33333,                0.34813,                0.13736,                0.64243,                0.29167,                0.25992,                 0.0982,                 2.2362,                 4.5968,                 5.0954,                 2.5868,             0.00053679,             0.00053679,             0.00053679
                      8,                 1.1671,                 2.4007,                 1.4662,                 1.2956,                0.45217,                0.29167,                0.31598,                0.11771,                0.39348,                   0.25,                0.22966,                0.05212,                 2.3506,                 5.2102,                 6.3958,                 2.7856,              0.0006157,              0.0006157,              0.0006157
                      9,                 1.1661,                 2.4481,                 1.3484,                 1.3192,                0.58966,                0.33333,                0.30971,                0.13475,                0.41087,                0.20833,                0.18333,                0.06974,                 2.5248,                 5.9558,                 3.4594,                 2.8909,             0.00069446,             0.00069446,             0.00069446
                     10,                 1.1375,                 2.3318,                 1.3952,                 1.3203,                0.39021,                0.41667,                0.27157,                0.12449,                0.24038,                   0.25,                0.14587,                0.04687,                 2.5281,                   9.04,                 6.0339,                  2.713,             0.00077305,             0.00077305,             0.00077305
                     11,                  1.219,                 2.4882,                 1.4897,                 1.3686,                0.64575,                0.33333,                0.39157,                0.17542,                0.48467,                   0.25,                0.20034,                0.06017,                  2.495,                 15.124,                 3.7751,                  3.882,             0.00085149,             0.00085149,             0.00085149
                     12,                 1.3356,                 2.6418,                 1.4544,                 1.4754,                0.27142,                0.37261,                0.25052,                0.12678,                0.32506,                0.20833,                0.18058,                0.05756,                 2.4544,                 20.993,                  5.403,                 4.2481,             0.00092976,             0.00092976,             0.00092976
                     13,                 1.2436,                 2.6109,                 1.5012,                 1.3911,                0.19908,                0.20833,                  0.097,                0.05839,                0.13097,                   0.25,                0.07135,                0.02201,                  2.319,                 14.893,                  5.353,                  2.958,              0.0010079,              0.0010079,              0.0010079
                     14,                 1.3846,                 2.6058,                 1.5393,                 1.4775,                0.22113,                   0.25,                0.14886,                0.08616,                0.08392,                   0.25,                0.07392,                0.03142,                 2.6121,                 15.298,                 5.3792,                 4.2694,              0.0010858,              0.0010858,              0.0010858
                     15,                 1.3708,                 2.6968,                 1.5864,                 1.4969,                0.25855,                0.29167,                0.15745,                0.07407,                0.22925,                0.20833,                0.10638,                0.04325,                 2.5875,                 15.718,                 6.4446,                 3.7003,              0.0011636,              0.0011636,              0.0011636
                     16,                 1.3217,                 2.5726,                 1.6736,                 1.4183,                0.19328,                   0.25,                0.15418,                0.06173,                0.09702,                  0.125,                0.04263,                0.00979,                 2.8401,                  27.29,                 11.464,                 3.6465,              0.0012413,              0.0012413,              0.0012413
                     17,                 1.3151,                 2.4353,                 1.4392,                 1.4491,                0.13517,                0.16667,                0.05827,                0.03089,                0.07253,                0.08333,                0.02609,                0.00438,                 2.7674,                 15.967,                 8.2396,                 3.3853,              0.0013188,              0.0013188,              0.0013188
                     18,                 1.3369,                 2.7047,                 1.5343,                  1.461,                0.05301,                  0.125,                0.03074,                0.00835,                0.03524,                0.08333,                0.00654,                0.00165,                 2.7974,                 8.0592,                 9.0735,                 3.4615,              0.0013961,              0.0013961,              0.0013961
                     19,                 1.2887,                 2.6278,                 1.4275,                 1.4336,                0.08492,                   0.25,                0.07229,                0.01685,                0.02778,                0.08333,                0.00675,                 0.0022,                 2.5795,                 9.1059,                 14.722,                 4.0393,              0.0014733,              0.0014733,              0.0014733
                     20,                 1.4055,                 2.7081,                 1.4972,                 1.4407,                0.02421,                    0.5,                0.02145,                 0.0078,                0.01206,                   0.25,                0.00631,                0.00188,                   2.48,                 8.8246,                 47.969,                 3.9614,              0.0015503,              0.0015503,              0.0015503
                     21,                 1.4725,                 2.9177,                 1.4737,                 1.4887,                0.01071,                0.29167,                0.00725,                0.00183,                 0.0033,                0.16667,                0.00182,                0.00061,                 3.3022,                 10.228,                  97.52,                 7.7188,              0.0016271,              0.0016271,              0.0016271
                     22,                 1.4173,                 2.8007,                 1.5311,                 1.5061,                0.02881,                  0.125,                0.01698,                0.00475,                 0.0096,                0.04167,                0.00239,                0.00082,                 3.2583,                 17.901,                 25.543,                 5.5228,              0.0017038,              0.0017038,              0.0017038
                     23,                 1.3762,                 2.7044,                 1.4886,                 1.5064,                0.16123,                  0.125,                0.07922,                0.03086,                0.02654,                0.20833,                0.00859,                0.00171,                 2.9917,                 13.369,                 8.9773,                 3.3924,              0.0017804,              0.0017804,              0.0017804
                     24,                 1.4682,                 2.8465,                 1.5414,                 1.5589,                0.05327,                   0.25,                0.04177,                0.02714,                0.07699,                0.04167,                0.02562,                0.00343,                 2.8207,                 15.993,                  12.53,                 3.1006,              0.0018567,              0.0018567,              0.0018567
                     25,                 1.2996,                 2.5041,                  1.439,                 1.4746,                0.11789,                0.08333,                0.03229,                 0.0187,                0.11789,                0.08333,                   0.02,                0.00409,                 2.9811,                 18.949,                 6.7645,                 3.4781,               0.001933,               0.001933,               0.001933
                     26,                 1.3556,                 2.5534,                 1.4247,                 1.4796,                 0.2983,                0.04167,                0.05961,                0.00847,                0.01121,                0.08333,                0.00319,                0.00118,                  3.156,                 17.972,                 6.9832,                 3.6938,              0.0019505,              0.0019505,              0.0019505
                     27,                   1.19,                 2.5014,                 1.3629,                 1.3515,                0.05482,                0.29167,                0.02783,                0.01021,                0.09972,                0.08333,                0.02707,                0.00856,                 3.0072,                 15.792,                  12.15,                 3.7295,              0.0019505,              0.0019505,              0.0019505
                     28,                 1.3111,                 2.4275,                 1.3769,                 1.4454,                0.19066,                0.20833,                0.12004,                0.05534,                0.05894,                0.13322,                 0.0625,                0.03744,                 2.5519,                 12.191,                 10.066,                 3.0866,              0.0019485,              0.0019485,              0.0019485
                     29,                 1.2343,                 2.5627,                 1.3278,                 1.4024,                0.18158,                0.20833,                0.08879,                0.03528,                0.25386,                  0.125,                0.06416,                 0.0203,                 2.8101,                 13.801,                 7.7149,                 3.1188,              0.0019465,              0.0019465,              0.0019465
                     30,                  1.199,                  2.338,                 1.2378,                 1.3507,                0.55593,                  0.125,                 0.1442,                0.07207,                0.55593,                  0.125,                0.13446,                0.08521,                 2.7318,                 13.411,                 5.8448,                 2.8423,              0.0019446,              0.0019446,              0.0019446
                     31,                 1.2773,                 2.5314,                 1.3066,                 1.4032,                 0.1524,                  0.375,                0.11219,                0.05417,                0.13423,                0.33333,                0.09723,                0.05798,                 2.6781,                 25.863,                 4.5911,                 3.0172,              0.0019426,              0.0019426,              0.0019426
                     32,                 1.3392,                 2.5665,                 1.3496,                  1.421,                0.14543,                0.33333,                0.14106,                0.05259,                0.11722,                0.20833,                0.09523,                0.04937,                 2.7374,                 13.821,                 3.2847,                  2.826,              0.0019406,              0.0019406,              0.0019406
